kepoi_name,koi_disposition,target,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_srad
K00753.01,FALSE POSITIVE,0,19.89913995,1.7822,10829.0,14.6,638.0,39.3,0.969,76.3,5853.0,4.544,0.868
K00754.01,FALSE POSITIVE,0,1.736952453,2.40641,8079.2,33.46,1395.0,891.96,1.276,505.6,5805.0,4.564,0.791
K00755.01,CONFIRMED,2,2.525591777,1.6545,603.3,2.75,1406.0,926.16,0.701,40.9,6031.0,4.438,1.046
K00756.01,CONFIRMED,2,11.09432054,4.5945,1517.5,3.9,835.0,114.81,0.538,66.5,6046.0,4.486,0.972
K00756.02,CONFIRMED,2,4.13443512,3.1402,686.0,2.77,1160.0,427.65,0.762,40.2,6046.0,4.486,0.972
K00115.03,CANDIDATE,1,3.43591631,3.133,23.2,0.55,1272.0,617.61,0.624,8.7,5779.0,4.339,1.087
K00756.03,CONFIRMED,2,2.56658897,2.429,226.5,1.59,1360.0,807.74,0.755,15.0,6046.0,4.486,0.972
K00834.01,CONFIRMED,2,23.65369415,8.2183,3341.8,7.89,731.0,67.65,0.008,266.3,5739.0,4.191,1.384
K00834.02,CONFIRMED,2,13.23352214,6.7372,504.6,3.06,888.0,146.67,0.014,49.1,5739.0,4.191,1.384
K00834.03,CONFIRMED,2,6.15560285,4.9843,285.0,2.32,1146.0,406.94,0.235,35.1,5739.0,4.191,1.384
K00834.04,CONFIRMED,2,2.090811305,3.388,115.9,1.62,1642.0,1718.04,0.746,19.9,5739.0,4.191,1.384
K00834.05,CONFIRMED,2,50.4467417,7.159,370.3,2.67,568.0,24.64,0.379,19.4,5739.0,4.191,1.384
K00119.01,CONFIRMED,2,49.18394185,11.3364,1646.2,8.2,669.0,47.4,0.035,355.7,5626.0,3.907,2.057
K00835.01,CONFIRMED,2,11.76307164,2.9076,1037.3,2.35,616.0,33.99,0.048,48.9,4959.0,4.603,0.756
