kepid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_depth,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec
10811496,"K00753.01","FALSE POSITIVE",19.89913995,1.494e-05,-1.494e-05,1.7822,10829,14.6,3.92,-1.31,638.0,39.30,0.969,76.30,5853.00,4.544,0.8680,297.004820,48.134129
10848459,"K00754.01","FALSE POSITIVE",1.736952453,2.63e-07,-2.63e-07,2.40641,8079.2,33.46,8.5,-2.83,1395.0,891.96,1.276,505.60,5805.00,4.564,0.7910,285.534610,48.285210
10854555,"K00755.01","CONFIRMED",2.525591777,3.761e-06,-3.761e-06,1.6545,603.3,2.75,0.88,-0.35,1406.0,926.16,0.701,40.90,6031.00,4.438,1.0460,288.754880,48.226200
10872983,"K00756.01","CONFIRMED",11.09432054,2.036e-05,-2.036e-05,4.5945,1517.5,3.9,1.27,-0.42,835.0,114.81,0.538,66.50,6046.00,4.486,0.9720,296.286130,48.224670
10872983,"K00756.02","CONFIRMED",4.13443512,1.046e-05,-1.046e-05,3.1402,686,2.77,0.9,-0.3,1160.0,427.65,0.762,40.20,6046.00,4.486,0.9720,296.286130,48.224670
9579641,"K00115.03","CANDIDATE",3.43591631,4.729e-05,-4.729e-05,3.133,23.2,0.55,0.08,-0.07,1272.0,617.61,0.624,8.70,5779.00,4.339,1.0870,287.887330,46.276241
10872983,"K00756.03","CONFIRMED",2.56658897,1.781e-05,-1.781e-05,2.429,226.5,1.59,0.52,-0.17,1360.0,807.74,0.755,15.00,6046.00,4.486,0.9720,296.286130,48.224670
5436502,"K00834.01","CONFIRMED",23.65369415,1.748e-05,-1.748e-05,8.2183,3341.8,7.89,1.38,-1.52,731.0,67.65,0.008,266.30,5739.00,4.191,1.3840,287.897130,40.637821
5436502,"K00834.02","CONFIRMED",13.23352214,4.503e-05,-4.503e-05,6.7372,504.6,3.06,0.54,-0.58,888.0,146.67,0.014,49.10,5739.00,4.191,1.3840,287.897130,40.637821
5436502,"K00834.03","CONFIRMED",6.15560285,2.704e-05,-2.704e-05,4.9843,285,2.32,0.4,-0.45,1146.0,406.94,0.235,35.10,5739.00,4.191,1.3840,287.897130,40.637821
5436502,"K00834.04","CONFIRMED",2.090811305,9.571e-06,-9.571e-06,3.388,115.9,1.62,0.28,-0.32,1642.0,1718.04,0.746,19.90,5739.00,4.191,1.3840,287.897130,40.637821
5436502,"K00834.05","CONFIRMED",50.4467417,0.0006505,-0.0006505,7.159,370.3,2.67,0.47,-0.51,568.0,24.64,0.379,19.40,5739.00,4.191,1.3840,287.897130,40.637821
9471974,"K00119.01","CONFIRMED",49.18394185,2.475e-05,-2.475e-05,11.3364,1646.2,8.2,0.5,-0.55,669.0,47.40,0.035,355.70,5626.00,3.907,2.0570,294.559170,46.062328
5456651,"K00835.01","CONFIRMED",11.76307164,2.035e-05,-2.035e-05,2.9076,1037.3,2.35,0.17,-0.08,616.0,33.99,0.048,48.90,4959.00,4.603,0.7560,294.202150,40.663410
7907423,"K00899.03","CONFIRMED",15.36845737,4.067e-05,-4.067e-05,2.4714,756.1,1.11,0.12,-0.16,332.0,2.86,0.115,30.90,3561.00,4.855,0.4110,296.985050,43.658520
7938496,"K00900.01","CONFIRMED",13.81020318,2.968e-05,-2.968e-05,3.048,1309.7,4.56,1.33,-0.88,833.0,113.75,0.791,46.20,5942.00,4.327,1.1420,281.960630,43.703110
8013419,"K00901.01","CANDIDATE",12.732624065,4.397e-06,-4.397e-06,2.2083,6465.7,4.87,0.97,-0.96,432.0,8.22,0.811,210.50,3950.00,4.721,0.5410,285.167480,43.876339
8018547,"K00902.01","CANDIDATE",83.92494032,7.999e-05,-7.999e-05,6.7904,7958.7,4.78,0.34,-0.47,226.0,0.62,0.658,182.10,3960.00,4.746,0.5090,287.852390,43.897991
8039892,"K00903.01","CONFIRMED",5.007316661,1.389e-06,-1.389e-06,4.2362,6932.3,6.96,1.75,-0.62,998.0,234.28,0.344,431.40,5865.00,4.563,0.8270,295.536130,43.884449
5897826,"K00126.01","FALSE POSITIVE",33.80364366,2.278e-05,-2.278e-05,11.4813,13494.4,20.7,3.24,-4.86,745.0,72.71,0.023,529.90,5855.00,3.999,1.7960,297.475860,41.114288
8150320,"K00904.01","CONFIRMED",2.211116989,2.691e-06,-2.691e-06,1.6485,724.2,1.85,0.13,-0.05,931.0,177.19,0.69,42.60,4500.00,4.656,0.6460,285.168330,44.026459
8561063,"K00961.02","CONFIRMED",0.453287416,1.02e-07,-1.02e-07,0.4445,1461.5,0.76,0.19,-0.09,729.0,66.14,0.81,150.40,3292.00,5.215,0.1480,292.219060,44.619160
8561063,"K00961.03","CONFIRMED",1.865114193,1.005e-06,-1.005e-06,0.4279,1124.8,0.66,0.17,-0.08,455.0,10.10,0.785,56.90,3292.00,5.215,0.1480,292.219060,44.619160
10657664,"K00964.01","FALSE POSITIVE",3.273699006,2.4e-07,-2.4e-07,3.07626,6862.8,22.36,7.31,-7.3,3060.0,20728.79,0.733,1293.10,10816.00,4.086,2.4930,288.499480,47.996471
3337351,"K00965.01","FALSE POSITIVE",7.047103499,2.538e-06,-2.538e-06,3.3208,71318,51.86,15.23,-6.52,955.0,196.62,1.047,274.90,5730.00,4.417,1.0350,290.115690,38.404190
3233043,"K00966.01","FALSE POSITIVE",0.379463865,2.8e-08,-2.8e-08,0.86896,1973.3,59.56,34.57,-38.05,3000.0,19256.81,1.246,458.60,5075.00,3.892,1.7830,290.911190,38.335579
6579806,"K00967.01","FALSE POSITIVE",9.88047978,1.553e-06,-1.553e-06,2.78458,18541,23.6,7.06,-2.34,860.0,129.45,1.02,534.50,6113.00,4.512,0.9170,281.669160,42.038639
3560301,"K00968.01","FALSE POSITIVE",4.6484156,7.845e-05,-7.845e-05,38.1939,128.4,5.06,0.52,-2.1,2259.0,6152.88,0.968,91.70,6980.00,3.577,3.4820,295.266820,38.611240
5880320,"K01060.02","CONFIRMED",4.75796103,3.448e-05,-3.448e-05,4.66,124.5,1.7,0.27,-0.39,1372.0,835.65,0.621,20.90,6021.00,4.093,1.4580,293.084630,41.135441
5880320,"K01060.03","CONFIRMED",20.4972755,0.000334,-0.000334,8.536,242.9,2.96,0.46,-0.69,843.0,119.42,0.966,22.80,6021.00,4.093,1.4580,293.084630,41.135441
5880320,"K01060.04","CONFIRMED",8.19345065,7.089e-05,-7.089e-05,5.234,115.4,1.74,0.27,-0.4,1144.0,405.75,0.815,15.70,6021.00,4.093,1.4580,293.084630,41.135441
6037187,"K01061.01","CONFIRMED",41.8059544,0.0002153,-0.0002153,6.057,434.4,2.02,0.61,-0.26,533.0,19.02,0.029,28.30,5907.00,4.445,0.9730,290.131500,41.381500
6147122,"K01062.01","FALSE POSITIVE",15.45158184,8.522e-05,-8.522e-05,2.406,85.3,2.02,0.49,-0.41,1285.0,643.83,0.636,21.00,7839.00,4.080,2.0690,297.981230,41.444870
